series,month,value
Africa,2008-01,9504
Africa,2008-02,5022
Africa,2008-03,7734
Africa,2008-04,7903
Africa,2008-05,5910
Africa,2008-06,6431
Africa,2008-07,8293
Africa,2008-08,8727
Africa,2008-09,6013
Africa,2008-10,7873
Africa,2008-11,6482
Africa,2008-12,10628
Africa,2009-01,6874
Africa,2009-02,4438
Africa,2009-03,5570
Africa,2009-04,6044
Africa,2009-05,5007
Africa,2009-06,5626
Africa,2009-07,7357
Africa,2009-08,6801
Africa,2009-09,5101
Africa,2009-10,6693
Africa,2009-11,6248
Africa,2009-12,10506
Africa,2010-01,7363
Africa,2010-02,4418
Africa,2010-03,5907
Africa,2010-04,6449
Africa,2010-05,4999
Africa,2010-06,5095
Africa,2010-07,6376
Africa,2010-08,6994
Africa,2010-09,5739
Africa,2010-10,6013
Africa,2010-11,5830
Africa,2010-12,10205
Africa,2011-01,7843
Africa,2011-02,3897
Africa,2011-03,5521
Africa,2011-04,6525
Africa,2011-05,4536
Africa,2011-06,5249
Africa,2011-07,7454
Africa,2011-08,5200
Africa,2011-09,5934
Africa,2011-10,6042
Africa,2011-11,5403
Africa,2011-12,9634
Africa,2012-01,6107
Africa,2012-02,4508
Africa,2012-03,5855
Africa,2012-04,6211
Africa,2012-05,4451
Africa,2012-06,5083
Africa,2012-07,5809
Africa,2012-08,5106
Africa,2012-09,5498
Africa,2012-10,4910
Africa,2012-11,5397
Africa,2012-12,8884
Africa,2013-01,6338
Africa,2013-02,3659
Africa,2013-03,5755
Africa,2013-04,5056
Africa,2013-05,4506
Africa,2013-06,5298
Africa,2013-07,5242
Africa,2013-08,5357
Africa,2013-09,5852
Africa,2013-10,4917
Africa,2013-11,4932
Africa,2013-12,9575
Africa,2014-01,5729
Africa,2014-02,4238
Africa,2014-03,4948
Africa,2014-04,6291
Africa,2014-05,4305
Africa,2014-06,4382
Africa,2014-07,5435
Africa,2014-08,6468
Africa,2014-09,4846
Africa,2014-10,4191
Africa,2014-11,5507
Africa,2014-12,9594
Africa,2015-01,6377
Africa,2015-02,3562
Africa,2015-03,5138
Africa,2015-04,6410
Africa,2015-05,4663
Africa,2015-06,4051
Africa,2015-07,5383
Africa,2015-08,6102
Africa,2015-09,5206
Africa,2015-10,5857
Africa,2015-11,5417
Africa,2015-12,9136
Africa,2016-01,6364
Africa,2016-02,3591
Africa,2016-03,6045
Africa,2016-04,6308
Africa,2016-05,4941
Africa,2016-06,3932
Africa,2016-07,6165
Africa,2016-08,6478
Africa,2016-09,5308
Africa,2016-10,6015
Africa,2016-11,6478
Africa,2016-12,10784
Africa,2017-01,7040
Africa,2017-02,4403
Africa,2017-03,5566
Africa,2017-04,7195
Africa,2017-05,4787
Africa,2017-06,4427
Africa,2017-07,6948
Africa,2017-08,6979
Africa,2017-09,5451
Africa,2017-10,5627
Africa,2017-11,6705
Africa,2017-12,11583
Africa,2018-01,7433
Africa,2018-02,4715
Africa,2018-03,6648
Africa,2018-04,7346
Africa,2018-05,4851
Africa,2018-06,5287
Africa,2018-07,8256
Africa,2018-08,7834
Africa,2018-09,6146
Africa,2018-10,6129
Africa,2018-11,6088
Africa,2018-12,13072
Africa,2019-01,7083
Africa,2019-02,4480
Africa,2019-03,6106
Africa,2019-04,7247
Africa,2019-05,4961
Africa,2019-06,6787
Africa,2019-07,7548
Africa,2019-08,8289
Africa,2019-09,7961
Africa,2019-10,6697
Africa,2019-11,7472
Africa,2019-12,16335
Africa,2020-01,9271
Africa,2020-02,3435
Africa,2020-03,1381
Africa,2020-04,3
Africa,2020-05,1
Africa,2020-06,9
Africa,2020-07,19
Africa,2020-08,55
Africa,2020-09,41
Africa,2020-10,49
Africa,2020-11,39
Africa,2020-12,61
Africa,2021-01,42
Africa,2021-02,35
Africa,2021-03,36
Africa,2021-04,35
Africa,2021-05,44
Africa,2021-06,8
Africa,2021-07,31
Africa,2021-08,54
Africa,2021-09,43
Africa,2021-10,71
Africa,2021-11,79
Africa,2021-12,74
Africa,2022-01,114
Africa,2022-02,58
Africa,2022-03,129
Africa,2022-04,814
Africa,2022-05,1300
Africa,2022-06,2184
Africa,2022-07,2582
Africa,2022-08,2903
Africa,2022-09,3713
Africa,2022-10,3738
Africa,2022-11,4266
Africa,2022-12,6334
Africa,2023-01,4182
Africa,2023-02,4073
Africa,2023-03,4300
Africa,2023-04,4812
