corridor,category,as_of_month,momentum_weighted,momentum_simple_mean,n_merchants,total_review_base,share_high_potential
CN->SG,Beverage,2025-06,0.27075422177953795,-0.006991628794860039,6.0,3961.0,0.3333333333333333
CN->SG,Beverage,2025-07,-0.04573189527413106,-0.07107068034747005,6.0,4140.0,0.3333333333333333
CN->SG,Beverage,2025-08,-0.1436846318768361,-0.16215679438758798,6.0,4283.0,0.3333333333333333
CN->SG,Beverage,2025-09,-0.18624627870984692,-0.17113158460615507,6.0,4379.0,0.3333333333333333
CN->SG,Beverage,2025-10,-0.3270119029674731,-0.23420030415212886,6.0,4519.0,0.3333333333333333
CN->SG,Beverage,2025-11,-0.280012308635967,-0.37601084622652553,6.0,4645.0,0.3333333333333333
CN->SG,Beverage,2025-12,-0.2272664997940029,-0.3134935679716364,6.0,4732.0,0.3333333333333333
CN->SG,Beverage,2026-01,-0.05719096140074029,-0.11539884376194387,6.0,4815.0,0.3333333333333333
CN->SG,Beverage,2026-02,-0.07704099388160528,0.11985081236006578,6.0,4912.0,0.3333333333333333
CN->SG,Beverage,2026-03,-0.10782310380434335,0.206477126643807,6.0,5005.0,0.3333333333333333
CN->SG,Beverage,2026-04,0.08809008983741418,0.2031926371837467,6.0,5078.0,0.3333333333333333
CN->SG,Beverage,2026-05,0.29849264821318233,0.29462660162978277,6.0,5158.0,0.3333333333333333
CN->SG,Food,2025-06,0.11843914674302775,0.12848807605438373,435.0,393590.0,0.2
CN->SG,Food,2025-07,-0.04807883085167057,-0.015859138609618673,435.0,406340.0,0.19080459770114944
CN->SG,Food,2025-08,-0.11847539527741785,-0.11600180201854801,435.0,418933.0,0.19310344827586207
CN->SG,Food,2025-09,-0.06718743322821451,-0.06938108961045213,435.0,428387.0,0.19540229885057472
CN->SG,Food,2025-10,-0.04745197208067554,-0.07485743127947363,435.0,438396.0,0.19540229885057472
CN->SG,Food,2025-11,-0.09558625934121359,-0.09394120218904932,435.0,449974.0,0.18620689655172415
CN->SG,Food,2025-12,-0.18830737774503467,-0.17184247262042307,435.0,460887.0,0.19080459770114944
CN->SG,Food,2026-01,-0.0938761849372358,-0.08382377845706723,435.0,468969.0,0.19080459770114944
CN->SG,Food,2026-02,-0.01966907978289192,-0.016348996405981937,435.0,478307.0,0.19080459770114944
CN->SG,Food,2026-03,0.08189553180128595,0.09196929255032434,435.0,487803.0,0.19080459770114944
CN->SG,Food,2026-04,0.17880577292422045,0.19188694957069782,435.0,496784.0,0.19080459770114944
CN->SG,Food,2026-05,0.30357587140091985,0.2971387286913728,435.0,506003.0,0.19310344827586207
CN->SG,Hotel,2025-06,0.23822904891876934,0.16822621677256108,125.0,129981.0,0.192
CN->SG,Hotel,2025-07,0.012896751563811575,-0.031645745134914,125.0,134085.0,0.152
CN->SG,Hotel,2025-08,-0.0907521155782396,-0.12960459723941092,125.0,138356.0,0.168
CN->SG,Hotel,2025-09,-0.10915108396532232,-0.13179448778083136,125.0,141859.0,0.168
CN->SG,Hotel,2025-10,-0.09488752745491484,-0.10384201315413365,125.0,145144.0,0.184
CN->SG,Hotel,2025-11,-0.187013097180192,-0.1435928209828096,125.0,149092.0,0.168
CN->SG,Hotel,2025-12,-0.2232768772638294,-0.14907449863109984,125.0,152581.0,0.168
CN->SG,Hotel,2026-01,-0.14017263029501506,-0.054134533373327395,125.0,155187.0,0.168
CN->SG,Hotel,2026-02,0.018957755095749797,0.04571349411808736,125.0,157973.0,0.16
CN->SG,Hotel,2026-03,0.05249828817069712,0.08279412865369119,125.0,161134.0,0.168
CN->SG,Hotel,2026-04,0.1757826874106752,0.16829868251770458,125.0,163936.0,0.144
CN->SG,Hotel,2026-05,0.26295148409717867,0.2396723438575702,125.0,167028.0,0.144
CN->SG,Retail,2025-06,0.08087957450726581,0.06882411151617436,175.0,85436.0,0.19428571428571428
CN->SG,Retail,2025-07,-0.038791375930272556,-0.008538020827897277,175.0,88041.0,0.19428571428571428
CN->SG,Retail,2025-08,-0.11638281698218281,-0.09427980815292755,175.0,90639.0,0.2
CN->SG,Retail,2025-09,-0.07840138082968738,-0.042629303808961086,175.0,92622.0,0.19428571428571428
CN->SG,Retail,2025-10,-0.07127617915866541,-0.06819752355248673,175.0,94836.0,0.2
CN->SG,Retail,2025-11,-0.028606810465304177,-0.05218430469870542,175.0,97033.0,0.19428571428571428
CN->SG,Retail,2025-12,-0.08428575379964132,-0.11270338651958517,175.0,99249.0,0.2
CN->SG,Retail,2026-01,-0.02722451964155478,-0.061816674121895766,175.0,101156.0,0.2057142857142857
CN->SG,Retail,2026-02,-0.027305869077657162,-0.032135978951355997,175.0,103282.0,0.2057142857142857
CN->SG,Retail,2026-03,0.057634711699548716,0.07292358911802513,175.0,105319.0,0.2057142857142857
CN->SG,Retail,2026-04,0.1629328897771985,0.1975292763148122,175.0,107353.0,0.2
CN->SG,Retail,2026-05,0.2883724752012407,0.3123842510387664,175.0,109409.0,0.2057142857142857
SG->JP,Beverage,2025-06,-0.045900126600885965,-0.012430196712804256,7.0,806.0,0.2857142857142857
SG->JP,Beverage,2025-07,0.1381831146499137,0.06425840633149456,7.0,823.0,0.2857142857142857
SG->JP,Beverage,2025-08,-0.12723423760067576,-0.0914339078922853,7.0,850.0,0.2857142857142857
SG->JP,Beverage,2025-09,-0.1502289226328639,-0.11982816601457548,7.0,876.0,0.2857142857142857
SG->JP,Beverage,2025-10,-0.2924766530593107,-0.18561185487575158,7.0,904.0,0.2857142857142857
SG->JP,Beverage,2025-11,-0.011596283157876348,0.05512542497612283,7.0,920.0,0.2857142857142857
SG->JP,Beverage,2025-12,0.16051640186746458,0.1728446843136508,7.0,940.0,0.2857142857142857
SG->JP,Beverage,2026-01,0.26693413759813234,0.2516863529239796,7.0,964.0,0.2857142857142857
SG->JP,Beverage,2026-02,0.10379020426951718,0.09620689308437311,7.0,993.0,0.2857142857142857
SG->JP,Beverage,2026-03,0.03795427012691016,0.001044737610378123,7.0,1022.0,0.2857142857142857
SG->JP,Beverage,2026-04,-0.07070008009352824,-0.09864862171642584,7.0,1049.0,0.2857142857142857
SG->JP,Beverage,2026-05,0.012118917737088203,-0.015590563267662196,7.0,1075.0,0.2857142857142857
SG->JP,Food,2025-06,-0.14175064356793587,-0.08512312709144305,59.0,9668.0,0.2033898305084746
SG->JP,Food,2025-07,-0.029434337808462108,0.01536098936788532,59.0,9908.0,0.2033898305084746
SG->JP,Food,2025-08,-0.014208247857725315,0.004712412208096429,59.0,10134.0,0.2033898305084746
SG->JP,Food,2025-09,0.08347378897834788,0.07834418609600237,59.0,10402.0,0.1864406779661017
SG->JP,Food,2025-10,0.09124870440511372,0.05899394566287093,59.0,10669.0,0.1864406779661017
SG->JP,Food,2025-11,0.2062671050537084,0.19449179679023926,59.0,10878.0,0.2033898305084746
SG->JP,Food,2025-12,0.0523760866121809,0.06504615901644074,59.0,11208.0,0.1864406779661017
SG->JP,Food,2026-01,-0.010598490598325905,0.011106119477251193,59.0,11509.0,0.1864406779661017
SG->JP,Food,2026-02,-0.20889461396739312,-0.22187477502757771,59.0,11842.0,0.15254237288135594
SG->JP,Food,2026-03,-0.10641570505831469,-0.1306908023385925,59.0,12084.0,0.22033898305084745
SG->JP,Food,2026-04,0.017149435858617574,-0.0008965307349696679,59.0,12344.0,0.1864406779661017
SG->JP,Food,2026-05,0.2166143753703697,0.22627835553234144,59.0,12579.0,0.1864406779661017
SG->JP,Hotel,2025-06,-0.04915998008317769,-0.04932323187256226,104.0,41209.0,0.20192307692307693
SG->JP,Hotel,2025-07,-0.046172439375744806,-0.0915315231210893,104.0,42374.0,0.17307692307692307
SG->JP,Hotel,2025-08,-0.14231735537123968,-0.1398703673438772,104.0,43527.0,0.18269230769230768
SG->JP,Hotel,2025-09,-0.029672557770660333,-0.03928863448469839,104.0,44566.0,0.19230769230769232
SG->JP,Hotel,2025-10,0.04837251735977007,0.06118642308203641,104.0,45612.0,0.17307692307692307
SG->JP,Hotel,2025-11,0.2054535943347385,0.15532289690519654,104.0,46602.0,0.18269230769230768
SG->JP,Hotel,2025-12,0.1013433338091941,0.08178188785899948,104.0,47838.0,0.17307692307692307
SG->JP,Hotel,2026-01,0.036944727310997995,0.01554863422671938,104.0,49056.0,0.19230769230769232
SG->JP,Hotel,2026-02,-0.18557930584635718,-0.14412462338816023,104.0,50405.0,0.20192307692307693
SG->JP,Hotel,2026-03,-0.10725423843494161,-0.0838643272953158,104.0,51471.0,0.19230769230769232
SG->JP,Hotel,2026-04,-0.011429724644269706,0.0006735456448414043,104.0,52633.0,0.17307692307692307
SG->JP,Hotel,2026-05,0.22168323902239787,0.18546703506863554,104.0,53565.0,0.18269230769230768
SG->JP,Retail,2025-06,-0.1295416728448383,-0.12134437381743006,145.0,39914.0,0.18620689655172415
SG->JP,Retail,2025-07,-0.04974913061789438,-0.029579931664399074,145.0,40915.0,0.15862068965517243
SG->JP,Retail,2025-08,-0.08431879114375034,-0.062444519962022604,145.0,41936.0,0.15862068965517243
SG->JP,Retail,2025-09,0.03374758335340686,0.06000711806565242,145.0,42993.0,0.14482758620689656
SG->JP,Retail,2025-10,0.08654288212551821,0.03704502336951534,145.0,44031.0,0.16551724137931034
SG->JP,Retail,2025-11,0.18099674398363522,0.13553823215042443,145.0,44972.0,0.16551724137931034
SG->JP,Retail,2025-12,0.07588043527369087,0.022631360581278404,145.0,46240.0,0.1724137931034483
SG->JP,Retail,2026-01,-0.028849225743687087,0.037953778039439626,145.0,47447.0,0.1310344827586207
SG->JP,Retail,2026-02,-0.16078386667876093,-0.12752847404792506,145.0,48668.0,0.15862068965517243
SG->JP,Retail,2026-03,-0.11203245980979097,-0.0758377312233768,145.0,49744.0,0.15172413793103448
SG->JP,Retail,2026-04,0.004656503941966747,-0.029961206060033004,145.0,50793.0,0.16551724137931034
SG->JP,Retail,2026-05,0.16437862730262257,0.1682515954074493,145.0,51804.0,0.14482758620689656
